provincial,tie_line,total,new_energy,hydraulic,non_market,rem_power,TEMP,open_price,is_workday,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_5,quarter_1,quarter_2,season_1,season_2,log_price
14350,6110.0,14765.99,397.04,2317.95,3939.64,17745.01,-12.55,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
14414,6122.0,14767.08,396.47,2319.61,3945.0,17819.92,-12.59,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
14536,6122.0,14771.76,395.8,2324.96,3953.24,17937.24,-12.64,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
14602,6112.0,14853.52,396.21,2406.31,3957.86,17911.48,-12.69,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.363028103540465
14898,6112.0,14885.51,396.19,2438.32,3960.16,18175.49,-12.73,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
14694,6040.0,14924.81,414.61,2459.2,3950.21,17860.19,-12.78,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.363028103540465
14893,6370.0,14986.01,455.35,2479.66,3956.62,18327.99,-11.94,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.396929655216146
15128,6700.0,15063.11,513.96,2498.15,3974.59,18815.89,-11.11,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.396929655216146
15361,6340.0,15152.2,652.71,2518.49,3995.67,18529.800000000007,-10.28,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.396929655216146
15473,6414.0,15338.72,929.48,2518.24,4020.36,18439.28,-9.44,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.476972362889683
